Outcome,Measure,Estimate,CI 95% (analytical),p (analytical),CI 95% (bootstrap),p (bootstrap),N
Haemoglobin (g/dL),beta,0.09610298740738363,"[-0.0746, 0.2668]",0.26989516572515093,"[-0.0783, 0.2560]",0.271,1095
Ferritin (ng/mL),beta,4.131041959375505,"[-1.2301, 9.4922]",0.1309779524951511,"[-0.6522, 9.7877]",0.106,1066
Haematocrit (%),beta,0.17453517228261584,"[-0.3257, 0.6748]",0.49407200551112596,"[-0.3370, 0.6661]",0.499,1095
MCV (fL),beta,0.9476015979872561,"[0.0184, 1.8768]",0.04562958078779623,"[-0.0038, 1.9066]",0.053,1095
MCH (pg),beta,-0.0900312964264357,"[-0.5708, 0.3908]",0.7136180143737668,"[-0.6035, 0.3848]",0.743,1095
MCHC (g/dL),beta,0.13225354706585213,"[-0.0733, 0.3378]",0.2073125228142565,"[-0.0741, 0.3349]",0.216,1095
RDW (%),beta,-0.2422347628785969,"[-0.5278, 0.0434]",0.09644768489544212,"[-0.5269, 0.0631]",0.119,1093
C-reactive protein (mg/L),beta,-0.4894050702052544,"[-2.1522, 1.1734]",0.5640196972041279,"[-2.1090, 1.1830]",0.558,1078
Anaemia (Hb < 10.5),PR,0.5649234138933127,"[0.3323, 0.9603]",0.03489945796627821,"[0.2866, 0.9017]",0.011,1095
Iron deficiency (ferritin < 12),PR,0.9018420801714911,"[0.6950, 1.1703]",0.437129156325088,"[0.6805, 1.1551]",0.42,1066
Elevated CRP (> 5 mg/L),PR,0.6517392193813005,"[0.4309, 0.9858]",0.04257296518072188,"[0.4076, 0.9467]",0.019,1078
