Variable,Type,N missing,Pct missing
age_months,Confounder,0,0.00%
male,Confounder,0,0.00%
race_preta,Confounder,0,0.00%
race_parda,Confounder,0,0.00%
reg_norte,Confounder,0,0.00%
reg_nordeste,Confounder,0,0.00%
reg_sul,Confounder,0,0.00%
reg_co,Confounder,0,0.00%
urban,Confounder,0,0.00%
ien,Confounder,0,0.00%
ebia_leve,Confounder,0,0.00%
ebia_mod,Confounder,0,0.00%
ebia_grave,Confounder,0,0.00%
esgoto_adeq,Confounder,0,0.00%
agua_rede,Confounder,0,0.00%
cesarean,Confounder,0,0.00%
gest_weeks,Confounder,0,0.00%
birth_weight,Confounder,0,0.00%
prenatal_visits,Confounder,361,7.85%
maternal_age,Confounder,4,0.09%
breastfed,Confounder,0,0.00%
formula,Confounder,0,0.00%
cow_milk,Confounder,0,0.00%
educ_primary,Confounder,0,0.00%
educ_secondary,Confounder,0,0.00%
educ_tertiary,Confounder,0,0.00%
hb,Outcome,1813,39.40%
ferritin,Outcome,1873,40.71%
haematocrit,Outcome,1813,39.40%
mcv,Outcome,1813,39.40%
mch,Outcome,1813,39.40%
mchc,Outcome,1813,39.40%
rdw,Outcome,1816,39.47%
crp,Outcome,1845,40.10%
anaemia,Outcome,1813,39.40%
iron_deficiency,Outcome,1873,40.71%
crp_elevated,Outcome,1845,40.10%
